county,2016,2017,2018,2019,2020,2021
"Beaver County, Oklahoma",4082,4043,4056,3970,3935,3768
"Beckham County, Oklahoma",17396,17140,16867,16704,16419,17124
"Blaine County, Oklahoma",7598,7525,7610,7591,7533,6811
"Bryan County, Oklahoma",34099,34510,35012,35541,36234,34991
"Caddo County, Oklahoma",22020,22001,21926,21877,21920,20434
"Canadian County, Oklahoma",95191,97841,100772,103721,106994,111727
"Carter County, Oklahoma",36197,36078,36133,36160,36320,35980
"Cherokee County, Oklahoma",37160,37309,37607,37825,38120,36836
"Choctaw County, Oklahoma",11405,11338,11270,11212,11154,10798
"Cimarron County, Oklahoma",1734,1681,1651,1617,1596,1709
"Cleveland County, Oklahoma",210880,213093,215938,218673,221615,229460
"Coal County, Oklahoma",4348,4261,4222,4207,4211,4033
"Comanche County, Oklahoma",94290,93383,93300,92882,92683,92494
"Cotton County, Oklahoma",4638,4610,4568,4521,4475,4317
"Craig County, Oklahoma",11426,11332,11281,11216,11190,11044
"Creek County, Oklahoma",53766,53724,53964,54365,54624,54783
"Custer County, Oklahoma",22068,21911,21865,21788,21750,21428
"Delaware County, Oklahoma",32710,33125,33393,33743,34051,32348
"Dewey County, Oklahoma",3604,3592,3587,3571,3559,3302
"Ellis County, Oklahoma",3139,3131,3120,3084,3038,2938
"Garfield County, Oklahoma",46473,46184,46044,46324,46074,46989
"Garvin County, Oklahoma",20690,20779,20819,20841,20867,19414
"Grady County, Oklahoma",40699,41065,41408,41773,42103,41613
"Grant County, Oklahoma",3447,3371,3356,3323,3322,3172
"Greer County, Oklahoma",4912,4844,4792,4670,4516,4432
"Harmon County, Oklahoma",2127,2110,2066,2054,2001,1925
"Harper County, Oklahoma",2806,2806,2828,2785,2780,2490
"Haskell County, Oklahoma",9734,9643,9635,9628,9685,8915
"Hughes County, Oklahoma",10816,10586,10526,10419,10081,10126
"Jackson County, Oklahoma",19212,19001,18884,18700,18529,18634
"Jefferson County, Oklahoma",4797,4785,4737,4658,4579,4075
"Johnston County, Oklahoma",8411,8332,8437,8447,8415,7949
"Kay County, Oklahoma",33997,33836,33645,33310,33125,32936
"Kingfisher County, Oklahoma",11247,11308,11381,11453,11563,10982
"Kiowa County, Oklahoma",7071,6958,6880,6779,6726,6477
"Latimer County, Oklahoma",8250,8271,8201,8110,8023,7475
"Le Flore County, Oklahoma",37892,37909,37923,37850,37803,36524
"Lincoln County, Oklahoma",26115,26223,26359,26418,26602,25619
"Logan County, Oklahoma",34468,34494,35082,35809,36517,37698
"Love County, Oklahoma",7298,7363,7434,7577,7626,7608
"McClain County, Oklahoma",27603,28118,28680,29170,29714,30658
"McCurtain County, Oklahoma",24628,24663,24591,24610,24521,23092
"McIntosh County, Oklahoma",16049,15813,15779,15751,15754,15251
"Major County, Oklahoma",5748,5765,5765,5714,5661,5760
"Marshall County, Oklahoma",12267,12426,12540,12652,12855,11784
"Mayes County, Oklahoma",30912,31099,31224,31360,31491,30042
"Murray County, Oklahoma",10581,10564,10627,10691,10730,10611
"Muskogee County, Oklahoma",52778,52437,52167,51910,51765,50426
"Noble County, Oklahoma",8699,8681,8626,8569,8603,8306
"Nowata County, Oklahoma",8074,8029,7993,7948,7914,7305
"Okfuskee County, Oklahoma",9323,9304,9299,9286,9243,8824
"Oklahoma County, Oklahoma",568698,575422,581062,585760,590489,588124
"Okmulgee County, Oklahoma",29787,29663,29586,29529,29458,28249
"Osage County, Oklahoma",36963,36498,36656,36783,36845,36124
"Ottawa County, Oklahoma",24075,23813,23730,23605,23486,22877
"Pawnee County, Oklahoma",12484,12492,12487,12509,12531,11965
"Payne County, Oklahoma",64473,65017,65798,66162,66302,66118
"Pittsburg County, Oklahoma",34688,34779,34546,34332,34126,33877
"Pontotoc County, Oklahoma",29108,29186,29222,29356,29213,28858
"Pottawatomie County, Oklahoma",54109,54211,54601,54902,55336,55112
"Pushmataha County, Oklahoma",8693,8652,8644,8659,8625,8496
"Roger Mills County, Oklahoma",2766,2764,2756,2730,2717,2611
"Rogers County, Oklahoma",67852,68106,68940,69644,70441,72416
"Seminole County, Oklahoma",18953,18823,18729,18615,18520,17872
"Sequoyah County, Oklahoma",31478,31701,31708,31823,31784,30181
"Stephens County, Oklahoma",33989,33818,33664,33480,33350,32969
"Texas County, Oklahoma",15565,15493,15212,14829,14611,15369
"Tillman County, Oklahoma",5744,5756,5706,5656,5600,5380
"Tulsa County, Oklahoma",469101,474796,479194,482773,486370,495768
"Wagoner County, Oklahoma",56874,57557,58538,59612,60818,61019
"Washington County, Oklahoma",39791,39598,39638,39540,39611,39747
"Washita County, Oklahoma",8620,8589,8526,8405,8321,8249
"Woods County, Oklahoma",7240,7337,7292,7184,6934,6784
"Woodward County, Oklahoma",15788,15752,15630,15497,15283,15497
"Baker County, Oregon",12885,12844,12877,12885,12935,13166
"Benton County, Oregon",72717,73485,74956,76193,77233,79276
"Clackamas County, Oregon",306951,311545,316907,321443,325826,328346
"Clatsop County, Oregon",30238,30568,31051,31642,32165,33146
"Columbia County, Oregon",38629,39151,39775,40373,41177,41416
"Coos County, Oregon",51289,51214,51549,51899,52391,52699
"Crook County, Oregon",17148,17486,17899,18452,19036,19321
"Curry County, Oregon",18931,18969,19199,19351,19669,19902
"Deschutes County, Oregon",134141,138199,143103,148371,153374,156072
"Douglas County, Oregon",86382,86567,87278,87952,88775,89045
"Gilliam County, Oregon",1457,1484,1513,1505,1566,1617
"Grant County, Oregon",5880,5887,5875,5903,5942,5960
"Harney County, Oregon",5701,5670,5729,5768,5825,5932
"Hood River County, Oregon",17201,17275,17425,17612,17753,18296
"Jackson County, Oregon",166680,167686,169651,171765,173844,175853
"Jefferson County, Oregon",16910,17272,17680,18049,18428,18526
"Josephine County, Oregon",67524,67925,68693,69356,70137,70458
"Klamath County, Oregon",51652,51710,51902,52397,52962,53864
"Lake County, Oregon",6358,6343,6365,6360,6414,6548
"Lane County, Oregon",291528,294521,299602,303907,308343,310588
"Lincoln County, Oregon",38639,39149,39682,40337,41000,41445
"Linn County, Oregon",92001,93096,94708,96638,98635,98428
"Malheur County, Oregon",22848,22690,22692,22696,22980,23333
"Marion County, Oregon",243399,246991,251461,255397,259378,259561
"Morrow County, Oregon",8030,8078,8070,8190,8266,8678
"Multnomah County, Oregon",624563,634229,644140,651525,658557,659586
"Polk County, Oregon",60109,61110,62597,64102,65580,66791
"Sherman County, Oregon",1430,1392,1342,1365,1359,1425
"Tillamook County, Oregon",20639,20911,21131,21356,21742,22008
"Umatilla County, Oregon",56715,56991,57208,57511,57771,59367
"Union County, Oregon",20062,20077,20269,20537,20647,20438
"Wallowa County, Oregon",5583,5634,5646,5721,5766,5961
"Wasco County, Oregon",19861,19873,20037,20262,20392,20649
"Washington County, Oregon",427095,434958,444412,452589,459653,461425
"Wheeler County, Oregon",1212,1191,1205,1175,1160,1200
"Yamhill County, Oregon",78484,78700,80136,81276,82589,83365
"Adams County, Pennsylvania",80680,80671,81177,81666,81964,82854
"Allegheny County, Pennsylvania",995449,996286,994227,992084,990084,1010566
"Armstrong County, Pennsylvania",54308,53719,53455,53188,52840,53223
"Beaver County, Pennsylvania",135773,135097,134298,133620,132866,135372
"Bedford County, Pennsylvania",38781,38985,38883,38838,38768,38333
"Berks County, Pennsylvania",319253,321024,322426,323987,325348,330927
"Blair County, Pennsylvania",99904,98913,98445,98025,97575,97855
"Bradford County, Pennsylvania",48107,47969,47744,47532,47363,46842
"Bucks County, Pennsylvania",492079,494094,495803,497637,499660,512214
"Butler County, Pennsylvania",147084,147431,148369,149097,150221,154024
"Cambria County, Pennsylvania",111107,109594,108493,107313,106299,107974
"Cameron County, Pennsylvania",3960,3905,3907,3844,3780,3821
"Carbon County, Pennsylvania",51567,51361,51415,51497,51706,52344
"Centre County, Pennsylvania",134731,136099,136949,137614,137955,134968
"Chester County, Pennsylvania",391453,394684,397609,400470,403431,410764
"Clarion County, Pennsylvania",31556,31451,31518,31410,31352,30419
"Clearfield County, Pennsylvania",65881,65549,65399,65031,65022,65858
"Clinton County, Pennsylvania",31436,31317,31106,31039,30755,30084
"Columbia County, Pennsylvania",54753,54747,54459,54109,53838,53395
"Crawford County, Pennsylvania",68301,68383,67957,67728,67413,66877
"Cumberland County, Pennsylvania",194158,195683,197258,198771,200451,204487
"Dauphin County, Pennsylvania",210726,211878,212762,213563,214762,219630
"Delaware County, Pennsylvania",436066,438131,438615,439657,440833,446478
"Elk County, Pennsylvania",24955,24707,24601,24453,24336,24963
"Erie County, Pennsylvania",217836,217254,216136,214920,214051,213733
"Fayette County, Pennsylvania",107963,107222,106728,105957,105233,104322
"Forest County, Pennsylvania",7203,6721,6603,6528,6813,6593
"Franklin County, Pennsylvania",117734,118218,118937,119528,120357,120735
"Fulton County, Pennsylvania",11504,11556,11558,11588,11610,11616
"Greene County, Pennsylvania",30479,30155,29965,29760,29402,29168
"Huntingdon County, Pennsylvania",37133,37051,37031,37097,36984,36419
"Indiana County, Pennsylvania",71450,70756,70179,69726,69264,68395
"Jefferson County, Pennsylvania",35140,34876,34730,34530,34286,34904
"Juniata County, Pennsylvania",19216,18910,18988,19051,19119,18258
"Lackawanna County, Pennsylvania",170103,169093,168457,167666,167287,170941
"Lancaster County, Pennsylvania",404577,407770,410196,412824,415215,420239
"Lawrence County, Pennsylvania",70490,70396,69913,69438,68966,68957
"Lebanon County, Pennsylvania",105403,105981,106866,107697,108443,109808
"Lehigh County, Pennsylvania",276736,278386,280105,282266,283942,287177
"Luzerne County, Pennsylvania",256231,255806,255393,255108,254690,259497
"Lycoming County, Pennsylvania",92327,91581,91212,90869,90669,90604
"McKean County, Pennsylvania",34046,33669,33433,33199,32887,32493
"Mercer County, Pennsylvania",91311,90781,90309,89645,89065,89532
"Mifflin County, Pennsylvania",36054,35932,35913,35886,35864,35729
"Monroe County, Pennsylvania",131733,132792,133799,134697,135675,134967
"Montgomery County, Pennsylvania",636276,639578,642409,645167,648618,666170
"Montour County, Pennsylvania",14611,14643,14613,14562,14463,14444
"Northampton County, Pennsylvania",238524,239488,240726,242084,243564,249009
"Northumberland County, Pennsylvania",75095,74562,74087,73738,73321,73620
"Perry County, Pennsylvania",35595,35888,35964,36111,36229,36008
"Philadelphia County, Pennsylvania",1214129,1224068,1229255,1233514,1237657,1248317
"Pike County, Pennsylvania",45091,44890,45178,45421,45751,47968
"Potter County, Pennsylvania",13581,13469,13387,13308,13276,13062
"Schuylkill County, Pennsylvania",116953,115951,115182,114466,113906,114653
"Snyder County, Pennsylvania",31496,31822,31929,32008,32039,31516
"Somerset County, Pennsylvania",62163,61765,61108,60746,60467,60797
"Sullivan County, Pennsylvania",5523,5452,5455,5415,5392,5309
"Susquehanna County, Pennsylvania",33614,33708,33496,33263,32994,31524
"Tioga County, Pennsylvania",33590,33213,33012,32788,32641,32853
"Union County, Pennsylvania",37064,37101,37034,37047,36834,35350
"Venango County, Pennsylvania",42574,42211,41953,41651,41422,40988
"Warren County, Pennsylvania",32599,32408,32217,32016,31803,31175
"Washington County, Pennsylvania",166873,166634,166730,166642,166618,167836
"Wayne County, Pennsylvania",42288,42768,42752,42816,42765,42717
"Westmoreland County, Pennsylvania",291488,289855,288764,287443,286425,289507
"Wyoming County, Pennsylvania",22275,22155,22110,21972,21783,21250
"York County, Pennsylvania",341570,343375,345164,346808,348891,353736
"Bristol County, Rhode Island",39638,39540,39519,39460,39571,41168
"Kent County, Rhode Island",132941,132426,132605,132809,133347,137481
"Newport County, Rhode Island",67528,68307,68554,68669,68879,71268
"Providence County, Rhode Island",498424,501319,502574,504118,505231,520882
"Washington County, Rhode Island",103554,103964,104490,104831,105326,108487
"Abbeville County, South Carolina",19603,19541,19493,19550,19608,19422
"Aiken County, South Carolina",128574,129068,130281,131635,133131,131527
"Allendale County, South Carolina",7678,7598,7464,7330,7119,6678
"Anderson County, South Carolina",147883,149118,150722,152573,154494,155881
"Bamberg County, South Carolina",11977,11841,11633,11485,11429,10819
"Barnwell County, South Carolina",16458,16410,16302,16195,16203,15838
"Beaufort County, South Carolina",140421,144108,147387,150750,154355,151533
"Berkeley County, South Carolina",150551,154968,158533,163482,169147,170983
"Calhoun County, South Carolina",11845,11821,11810,11815,11817,11477
"Charleston County, South Carolina",303950,310133,316093,321701,327540,325270
"Cherokee County, South Carolina",42890,43227,43451,43673,43947,43243
"Chester County, South Carolina",24902,24937,24928,25041,25041,24972
"Chesterfield County, South Carolina",35467,35660,35673,35753,35653,33959
"Clarendon County, South Carolina",27039,27254,27267,27330,27365,25527
"Colleton County, South Carolina",29161,28989,29080,29158,29166,29842
"Darlington County, South Carolina",52080,52154,52015,51996,51991,49234
"Dillon County, South Carolina",23184,23069,22934,22881,22792,21276
"Dorchester County, South Carolina",110485,113478,116744,119061,121721,120957
"Edgefield County, South Carolina",21292,21603,21818,21992,22133,21302
"Fairfield County, South Carolina",18324,18294,18228,18211,18122,17196
"Florence County, South Carolina",105083,105127,105337,105501,105509,104568
"Georgetown County, South Carolina",48657,49100,49808,50385,50865,51643
"Greenville County, South Carolina",368649,375331,382168,389402,397106,398936
"Greenwood County, South Carolina",53700,53912,54120,54241,54677,53528
"Hampton County, South Carolina",15756,15585,15461,15334,15072,15060
"Horry County, South Carolina",242591,251224,260978,271267,282168,283131
"Jasper County, South Carolina",21303,21613,21995,22660,23620,22731
"Kershaw County, South Carolina",48203,48791,49345,49808,50750,49872
"Lancaster County, South Carolina",65117,67577,69937,72241,74804,74145
"Laurens County, South Carolina",51563,51690,52002,52143,52307,52295
"Lee County, South Carolina",14286,14089,14005,13964,13844,13504
"Lexington County, South Carolina",211969,215405,219265,222622,226755,223938
"McCormick County, South Carolina",8546,8466,8413,8368,8366,8468
"Marion County, South Carolina",24398,24283,24255,24096,23814,22826
"Marlboro County, South Carolina",22026,21934,21601,21241,21084,21464
"Newberry County, South Carolina",29389,29517,29629,29858,30009,29581
"Oconee County, South Carolina",60019,60487,61189,61878,62701,62404
"Orangeburg County, South Carolina",69482,69127,68782,68267,67826,66139
"Pickens County, South Carolina",96919,97776,99057,100418,101716,104992
"Richland County, South Carolina",313621,316661,319982,322799,325678,324937
"Saluda County, South Carolina",15602,15732,15837,15864,15869,14845
"Spartanburg County, South Carolina",224630,227899,231739,236059,241036,247412
"Sumter County, South Carolina",81134,81094,80987,80912,81050,80047
"Union County, South Carolina",21865,21845,21699,21591,21492,21447
"Williamsburg County, South Carolina",25686,25309,24981,24696,24408,24766
"York County, South Carolina",184868,189644,195246,201077,207612,209485
"Aurora County, South Dakota",2021,2025,1998,2025,2008,1909
"Beadle County, South Dakota",13438,13323,13505,13392,13393,13712
"Bennett County, South Dakota",2253,2221,2215,2199,2209,2021
"Bon Homme County, South Dakota",5740,5714,5634,5591,5592,5659
"Brookings County, South Dakota",26788,26896,27295,27543,27844,27120
"Brown County, South Dakota",29406,29449,29564,29773,29720,29392
"Brule County, South Dakota",3955,3926,3921,3931,3904,3830
"Buffalo County, South Dakota",1263,1259,1284,1259,1236,1218
"Butte County, South Dakota",7766,7732,7714,7700,7751,7709
"Campbell County, South Dakota",1153,1133,1145,1174,1156,1157
"Charles Mix County, South Dakota",6534,6570,6577,6568,6568,6509
"Clark County, South Dakota",2774,2749,2718,2727,2714,2680
